OpenRouter,alibaba,Tongyi DeepResearch 30B,alibaba/tongyi-deepresearch-30b-a3b:free,131072,free via OpenRouter,yes,lite,,,,,
OpenRouter,meituan,Meituan LongCat Flash Chat,meituan/longcat-flash-chat:free,131072,free via OpenRouter,yes,heavy,,,,,
OpenRouter,nvidia,NVIDIA Nemotron Nano 9B,nvidia/nemotron-nano-9b-v2:free,128000,lightweight local-style model,yes,lite,,,,,
OpenRouter,openai,OpenAI gpt-oss-20b,openai/gpt-oss-20b:free,131072,open-source OSS variant,yes,lite,,,,,
OpenRouter,z-ai,Z.AI GLM 4.5 Air,z-ai/glm-4.5-air:free,131072,,yes,heavy,,,,,
OpenRouter,qwen,Qwen3 Coder 480B,qwen/qwen3-coder:free,262144,high-context coder model,yes,heavy,,,,,coding
OpenRouter,mistralai,Mistral Small 3.2 24B,mistralai/mistral-small-3.2-24b-instruct:free,131072,strong instruction model,yes,lite,,,,,
OpenRouter,mistralai,Mistral Devstral Small,mistralai/devstral-small-2505:free,32768,developer/dev model,yes,lite,,,,,
OpenRouter,meta-llama,Meta Llama 3.3 8B,meta-llama/llama-3.3-8b-instruct:free,128000,compact instruction model,yes,lite,,,,,
OpenRouter,qwen,Qwen3 4B,qwen/qwen3-4b:free,40960,small model for fast tasks,yes,lite,,,,,
OpenRouter,qwen,Qwen3 235B,qwen/qwen3-235b-a22b:free,131072,very large model (high capability),yes,heavy,,,,,
OpenRouter,meta-llama,Meta Llama 4 Maverick,meta-llama/llama-4-maverick:free,128000,creative/assistant strengths,yes,lite,,,,,vision
OpenRouter,meta-llama,Meta Llama 4 Scout,meta-llama/llama-4-scout:free,128000,scout/analysis strengths,yes,lite,,,,,vision
OpenRouter,deepseek,DeepSeek V3 0324,deepseek/deepseek-chat-v3-0324:free,163840,large-context specialist,yes,heavy,,,,,
OpenRouter,mistralai,Mistral Small 3.1,mistralai/mistral-small-3.1-24b-instruct:free,128000,previous Mistral variant,yes,lite,,,,,
